epoch,learning_rate,train_loss,val_loss,val_mean_corr,val_mean_rmse
1,2e-05,0.8360149735830865,0.6854928449310106,0.3334097235287707,0.8252852559089661
2,2e-05,0.6701454649556358,0.6994434918822914,0.33575661435201765,0.8297850489616394
3,2e-05,0.6045754783558396,0.7729494766942386,0.33652534682962965,0.8677215576171875
4,2e-05,0.544783482995798,0.8752149641513824,0.33510967297506217,0.9147210121154785
5,2e-05,0.48480543249620583,0.9680158465073027,0.33646026210344226,0.9641659259796143
6,1e-05,0.4234876917639993,0.9239548167278027,0.323759836673636,0.9391013979911804
7,1e-05,0.39567901878705564,1.0502318863211006,0.3152281946411162,0.9893783926963806
8,1e-05,0.3702837085667646,0.9163486618420174,0.30161487441893864,0.9335198402404785
9,1e-05,0.34824570177017516,0.9902888557006573,0.2939140837191216,0.9676834940910339
