epoch,learning_rate,train_loss,val_loss,val_mean_corr,val_mean_rmse
1,5e-05,0.7604155950669972,0.7183682969931898,0.3347713526949592,0.8410026431083679
2,5e-05,0.6103992784079516,0.722734094693743,0.3260447133586561,0.8346266746520996
3,5e-05,0.510216601952067,0.8896221143418345,0.3218055608481061,0.9173149466514587
4,5e-05,0.41007949558069123,1.166813004633476,0.3123634837334326,1.0387767553329468
5,5e-05,0.33383425817174733,1.0494447915718472,0.29841159399032385,0.9934131503105164
6,2.5e-05,0.26051304389564495,1.0601713359355927,0.2819902186963958,1.001470923423767
7,2.5e-05,0.2330742822081413,1.0681464939281857,0.2940851518789753,1.0033330917358398
8,2.5e-05,0.21375796250858398,1.051910908057772,0.298090775870657,0.9972600936889648
9,2.5e-05,0.19814120304050312,1.108393605413108,0.2996155374199266,1.0201326608657837
