epoch,learning_rate,train_loss,val_loss,val_mean_corr,val_mean_rmse
1,3e-05,0.8009787047809025,0.6966429147227057,0.33175337399765925,0.8305435180664062
2,3e-05,0.6444129268515785,0.6949895306907851,0.33642018166227466,0.8227254748344421
3,3e-05,0.5685637959050682,0.805862058853281,0.3239687100979612,0.8797996044158936
4,3e-05,0.4927827371460087,0.9572547026749315,0.3325334050749571,0.9494943022727966
5,9e-06,0.40882291862705966,1.0234583873173286,0.32382416353344506,0.9848580360412598
6,9e-06,0.38077482356215425,1.1215233432835545,0.3099372503328644,1.0254782438278198
7,2.7e-06,0.35377673692298384,1.112554186377032,0.30439478610446,1.0203593969345093
8,2.7e-06,0.34446046169636385,1.0419229176537743,0.30039693717341964,0.9885608553886414
9,1e-06,0.33534608608428035,1.0661275674556863,0.2994203315588378,1.0016437768936157
10,1e-06,0.33200731378681253,1.0948150784804904,0.2962465157818233,1.0142236948013306
