epoch,lr,train_loss,train_mean_acc,train_mean_rmse,val_loss,val_mean_acc,val_mean_rmse
1,0.0001,0.36256588386890776,0.5454241633415222,0.9199296832084656,0.2888637135683564,0.4083772599697113,0.7742629051208496
2,0.0001,0.31772348048047083,0.6245338916778564,0.8482438921928406,0.31820589072346067,0.46777430176734924,0.8293663859367371
3,0.0001,0.29741073864646717,0.6600038409233093,0.8138999938964844,0.2608089414594087,0.5441100597381592,0.7452151775360107
4,0.0001,0.2845786158020739,0.6799190640449524,0.7942484021186829,0.25967825107623876,0.5625410079956055,0.7365503311157227
5,0.0001,0.2671416349956522,0.7056841850280762,0.7655174136161804,0.5523166261188724,0.4818023443222046,1.101379156112671
6,0.0001,0.24852119260298072,0.7331026196479797,0.7353741526603699,0.4915301707124463,0.589143693447113,1.0278445482254028
7,0.0001,0.22562801767059523,0.7661760449409485,0.6964241862297058,0.2938386030456563,0.582749605178833,0.7762947082519531
8,5e-05,0.20377586906162276,0.7951787114143372,0.6578584313392639,0.4461546158852355,0.3349423110485077,0.9908175468444824
9,5e-05,0.18606572457814444,0.8169884085655212,0.6255287528038025,0.4357041917316654,0.4353015422821045,1.0020920038223267
10,5e-05,0.17333199835434987,0.8327987194061279,0.6013565063476562,0.44984496133932794,0.4137986898422241,0.9868156313896179
11,5e-05,0.16232524175390084,0.8458464741706848,0.5797774791717529,0.6750619806773922,0.3807433843612671,1.2655352354049683
12,2.5e-05,0.15555188990568924,0.8533980846405029,0.5677284598350525,0.5510124051509125,0.5149756669998169,1.092366099357605
13,2.5e-05,0.14767882516047717,0.8615816235542297,0.552495002746582,0.3645669224966375,0.47074922919273376,0.8916789889335632
14,2.5e-05,0.14229932652959024,0.8685229420661926,0.5401491522789001,0.7968187437156321,0.4320812225341797,1.3610520362854004
