epoch,learning_rate,train_loss,val_loss,val_mean_corr,val_mean_rmse
1,0.0002,0.7138998019333258,0.6616023021175507,0.3774748636867087,0.8061639666557312
2,0.0002,0.596867991088528,0.6610946232017051,0.3817003045166875,0.8067672848701477
3,0.0002,0.5590815675749955,0.6303134608141919,0.4227570964650764,0.7881102561950684
4,0.0002,0.534454010216895,0.615752710306898,0.41069849983541323,0.7784252166748047
5,0.0002,0.5093435544706477,0.6246495877808713,0.4021937251790882,0.7814057469367981
6,0.0002,0.48365171218771735,0.6451399364369981,0.3885415764205153,0.7952329516410828
7,0.0002,0.462468480475554,0.6625384273047142,0.4055240018705228,0.8059587478637695
8,0.0002,0.4411144704919575,0.6324362352173379,0.4015068516569027,0.7858006358146667
9,0.0001,0.3940704744511209,0.7068148201450388,0.38652595178438304,0.8289195895195007
10,0.0001,0.3741090720361846,0.730133963392136,0.37655231900661085,0.8394463658332825
11,0.0001,0.35839655191805253,0.7494634973241928,0.3929896348791832,0.8500245213508606
12,0.0001,0.3439572856379693,0.7599580684240829,0.38477467800461884,0.8586227297782898
