epoch,learning_rate,train_loss,val_loss,val_mean_corr,val_mean_rmse
1,0.0002,0.7187025469838927,0.6773922649469781,0.33137302800665464,0.8159801959991455
2,0.0002,0.6118514707639264,0.7062933815920607,0.34106702427423685,0.829261839389801
3,0.0002,0.573914845362144,0.6671185753446944,0.34523007018320984,0.8087275624275208
4,0.0002,0.5474716497088202,0.6686702973030983,0.3217203183120218,0.8095723986625671
5,0.0002,0.5224985750986024,0.684966762649252,0.33969053233528856,0.8151982426643372
6,0.0002,0.49583020260044397,0.6676959534908863,0.358845968450113,0.7981589436531067
7,0.0002,0.47084706434070933,0.7367491940868661,0.35034317967872014,0.841167151927948
8,0.0001,0.41836621353398695,0.8030162583640281,0.3398953348592746,0.8765260577201843
9,0.0001,0.3950797403000958,0.7679324815882013,0.3357379729778767,0.863623321056366
10,0.0001,0.37621867884912097,0.7925638718173859,0.34714957339309777,0.8718405365943909
11,0.0001,0.35702296271112116,0.8205366331212064,0.33366940924920024,0.8874750137329102
