epoch,learning_rate,train_loss,val_loss,val_mean_corr,val_mean_rmse
1,0.0002,0.7021345176433017,0.6557442682220581,0.3225404607091512,0.8049690127372742
2,0.0002,0.5967259942192318,0.67890844208763,0.3730331109400547,0.815878689289093
3,0.0002,0.564996205738982,0.661330445649776,0.37054849585520655,0.8075787425041199
4,0.0002,0.5405732405677017,0.7112884597575411,0.36994960953489014,0.8350514769554138
5,0.0002,0.518215130402054,0.6588342218322957,0.3969681543503773,0.8013219833374023
6,0.0001,0.48326651033765583,0.6449251710734469,0.38709834199279985,0.7941606640815735
7,0.0001,0.46596722987494604,0.668579248671836,0.3769263141456592,0.8071222901344299
8,0.0001,0.451363349128959,0.6826340765395063,0.3844186550749101,0.8170689940452576
9,0.0001,0.4385476299131253,0.6962283472431466,0.3733654650480916,0.8227998614311218
10,0.0001,0.42589859061282526,0.6833032436193304,0.375191000186826,0.815390408039093
11,5e-05,0.3988258232522166,0.7248491143926661,0.3721176617869883,0.8378525376319885
12,5e-05,0.3892051786701488,0.7495028484374919,0.3699765610196095,0.8492918610572815
13,5e-05,0.3812975877665646,0.7575263428561231,0.3799203669922215,0.8557746410369873
14,5e-05,0.3718071423228547,0.7799233765678203,0.36757814007995876,0.8659758567810059
