epoch,learning_rate,train_loss,val_loss,val_mean_corr,val_mean_rmse
1,0.0002,0.7709347055041091,0.7167328298091888,0.2876711878409472,0.8468058705329895
2,0.0002,0.6260359771856776,0.6922001283853612,0.31950115399891116,0.8278191089630127
3,0.0002,0.5914685271050045,0.6613533807561752,0.35891221148401714,0.8076779246330261
4,0.0002,0.5650106788263404,0.6510099908138843,0.35287257649703146,0.8040044903755188
5,0.0002,0.5426337977939987,0.6444882566624499,0.3724102188887066,0.7970185279846191
6,0.0002,0.5244357245281306,0.6516566482630182,0.3658293639305068,0.8003271222114563
7,0.0002,0.5036119847778643,0.6609057806273724,0.36533944362566934,0.8040575981140137
8,0.0002,0.4808280407735945,0.7067951953157465,0.3587322659062912,0.8326573371887207
9,0.0002,0.4560190294802577,0.6748352852907586,0.3667924024527606,0.8094425201416016
10,0.0001,0.41069990026718106,0.6977069875661362,0.32896861645242953,0.8236904144287109
11,0.0001,0.3897414712611093,0.6981487965330164,0.33266329400666583,0.8201579451560974
12,0.0001,0.37098128732916075,0.6978082983417714,0.3551308956783756,0.8221095204353333
13,0.0001,0.35282639379485825,0.7462137246385534,0.3262203792545011,0.8460633754730225
