epoch,learning_rate,train_loss,val_loss,val_mean_corr,val_mean_rmse
1,0.0002,0.7338153379211716,0.6514611906827764,0.3227172878718118,0.8024628162384033
2,0.0002,0.621780155705785,0.6852120633455033,0.3625079892633461,0.8205298781394958
3,0.0002,0.5785595432925896,0.7021773983823493,0.366698365596083,0.8255169987678528
4,0.0002,0.5483861541993706,0.7196955763279124,0.3706388459634095,0.8382487297058105
5,0.0002,0.5276877948299147,0.8342592259670826,0.3752891324470087,0.8968074917793274
6,0.0001,0.4865424423698748,0.6990392924623287,0.3708440087730987,0.8253359794616699
7,0.0001,0.46799615886619966,0.6935141933091143,0.36227807412360624,0.8213646411895752
8,0.0001,0.4507118947464577,0.7540139156453153,0.3517074796109941,0.8531239628791809
9,0.0001,0.43104013644175004,0.7856733688014619,0.380921216713578,0.8706193566322327
