epoch,learning_rate,train_loss,val_loss,val_mean_corr,val_mean_rmse
1,0.0002,0.7543173743432101,0.6968916156824599,0.3344511839729852,0.8323894143104553
2,0.0002,0.6111329751780131,0.7186147485007631,0.3510553503489926,0.8457269072532654
3,0.0002,0.5761055543210657,1.0006728704939498,0.3196550419087763,0.9985107779502869
4,0.0002,0.5494622949922938,0.7748225825898191,0.34152541754108173,0.8755931854248047
5,0.0002,0.5237751201280028,0.9687683861306373,0.3263201277228419,0.9706664085388184
6,0.0001,0.4792651751165535,0.9676574322771518,0.31457431529210433,0.9708732962608337
7,0.0001,0.45850519023334646,0.8278730124869245,0.37023013298210034,0.899282693862915
8,0.0001,0.43756754417093613,0.9660010673898332,0.3320836957629295,0.964120090007782
9,0.0001,0.41628550167585404,0.9362669003770706,0.3393299990460294,0.9500333666801453
