epoch,learning_rate,train_loss,val_loss,val_mean_corr,val_mean_rmse
1,5e-05,1.1533291393855833,1.085562295954803,0.06680546078421741,1.041250228881836
2,5e-05,0.8553887553653627,1.1759127296250442,0.2688001707196683,1.072158694267273
3,5e-05,0.6686530588651604,1.0511970489189542,0.27230243463216963,1.0231529474258423
4,5e-05,0.5971114824965315,1.417573214604937,0.27214836020933775,1.1926929950714111
5,5e-05,0.536590416223373,1.0800554320730011,0.25670087900697486,1.0402202606201172
6,5e-05,0.4684826171341932,1.3874231720792836,0.24047523398334203,1.1720595359802246
7,5e-05,0.40503541973401913,1.0044557113071968,0.27652093032981423,1.0061370134353638
8,5e-05,0.3479132580307295,1.1183522045612335,0.2442158624814945,1.0576812028884888
9,5e-05,0.30329631846749555,0.9384514627785518,0.2554456852443356,0.9710970520973206
10,5e-05,0.26857867600782864,0.8639871981637232,0.24244838880134023,0.9329078793525696
11,5e-05,0.23946500278587612,1.1335017465311905,0.2190493154465584,1.066037654876709
12,5e-05,0.2126198684269527,1.0655555797034297,0.24586496863580884,1.0365965366363525
13,5e-05,0.19484071404725875,0.8237785835718286,0.23856372879820412,0.9115769267082214
14,5e-05,0.1761555745565104,1.0074081061215236,0.200233604952997,1.0064821243286133
15,5e-05,0.16449188623085337,1.0344587533638394,0.2165531282451709,1.0186704397201538
16,5e-05,0.15386307335124824,0.9095525443553925,0.23373971859975887,0.9568023681640625
17,5e-05,0.1440301885582366,1.0270441852766892,0.21416605661520263,1.0175129175186157
18,2.5e-05,0.11661726809194628,0.9623336247329054,0.2055834175009428,0.9853603839874268
19,2.5e-05,0.10916891795987228,0.90630026213054,0.21653777278084033,0.9556681513786316
20,2.5e-05,0.10508382797662942,0.9158383726046003,0.21045459396616648,0.9602680206298828
21,2.5e-05,0.10067379989151684,0.9465269292223042,0.20489051203265793,0.9771127700805664
