epoch,learning_rate,train_loss,val_loss,val_mean_corr,val_mean_rmse
1,0.0002,0.7085161464333276,0.6524484580818642,0.369515598201712,0.8019864559173584
2,0.0002,0.5943175218110488,0.6436439928539256,0.3689398363894873,0.796606719493866
3,0.0002,0.5574694469344849,0.6352005391678912,0.39266002748315193,0.7902364134788513
4,0.0002,0.5307792899536208,0.6356832885995825,0.3762257066748395,0.7865128517150879
5,0.0002,0.5061357259556425,0.6235428284457389,0.38892450998431394,0.779427707195282
6,0.0002,0.4812801183110463,0.6992525886347953,0.3713707155146984,0.8233849406242371
7,0.0002,0.4586260230706726,0.7129680162414591,0.3748983365679357,0.8337847590446472
8,0.0002,0.4347065495694796,0.7017894041665057,0.3910431898780402,0.8258166313171387
9,0.0002,0.41354010824009035,0.7089700461068051,0.3801336463807408,0.8290743827819824
10,0.0001,0.36969246947713635,0.743580493521183,0.36789015917012113,0.8487370610237122
11,0.0001,0.34969698123456083,0.7633813010885361,0.36231379954144005,0.8597833514213562
12,0.0001,0.3363267210067741,0.7493411435725841,0.36643803196061614,0.8515947461128235
13,0.0001,0.3254500730759151,0.7570518610325265,0.35994735150076673,0.8548932075500488
