epoch,learning_rate,train_loss,val_loss,val_mean_corr,val_mean_rmse
1,0.0002,0.7036707357315594,0.6326095298566716,0.3261870013040144,0.7919052243232727
2,0.0002,0.5958410049726027,0.6604108388753648,0.3465038246632064,0.8055078387260437
3,0.0002,0.5636546729314353,0.7188262403645413,0.3756586960921968,0.8415918350219727
4,0.0002,0.537382414878837,0.8943115663021168,0.353307479016324,0.9328481554985046
5,0.0002,0.514553303806487,0.7300871655027917,0.37813730769047166,0.8429020047187805
6,0.0001,0.4782082526195075,0.7741794116953586,0.37177499919419077,0.8682538866996765
7,0.0001,0.4585755341676207,0.7956853819654343,0.3562360818174389,0.8785415291786194
8,0.0001,0.4426365067669213,0.8600156012367695,0.36835584766602136,0.9126037955284119
9,0.0001,0.4283775998493596,0.9358894669629158,0.3470387445456003,0.9509156346321106
