epoch,lr,train_loss,train_mean_acc,train_mean_rmse,val_loss,val_mean_acc,val_mean_rmse
1,0.0001,0.4344849141482878,0.3548470437526703,1.0324602127075195,0.3455920765167832,0.23839686810970306,0.8720317482948303
2,0.0001,0.34630784619008553,0.5763769149780273,0.8949987888336182,0.3921337443562697,0.534163773059845,0.9313292503356934
3,0.0001,0.2891427329343866,0.673647403717041,0.8012314438819885,0.20747464311562375,0.5315401554107666,0.6495410799980164
4,0.0001,0.2715933678436648,0.6994706988334656,0.772510826587677,0.3068362915296159,0.5369135737419128,0.8120608329772949
5,0.0001,0.2583815327068157,0.7176508903503418,0.7503321766853333,0.34055082877660126,0.5149737596511841,0.8639952540397644
6,0.0001,0.24322157607728298,0.7375761866569519,0.725440263748169,0.23850289769985708,0.5579732060432434,0.7162253856658936
7,5e-05,0.22447199623332179,0.7686721682548523,0.6910451054573059,0.2868597330310927,0.5779096484184265,0.7894728183746338
8,5e-05,0.2124718057977583,0.7830683588981628,0.6704408526420593,0.25440334490916694,0.36760926246643066,0.7244071960449219
9,5e-05,0.20223449489598613,0.7959133982658386,0.65267413854599,0.5511716769038257,0.5118629932403564,1.1548113822937012
10,5e-05,0.19539227383417312,0.8055543899536133,0.6405511498451233,0.23688215559803397,0.5838553309440613,0.6955296397209167
11,2.5e-05,0.17778849279703282,0.8280723094940186,0.607429563999176,0.2885325843562728,0.5253179669380188,0.7726300358772278
