epoch,lr,train_loss,train_mean_acc,train_mean_rmse,val_loss,val_mean_acc,val_mean_rmse
1,0.0001,0.4656527317623887,0.22637559473514557,1.0794891119003296,0.2783826134995931,0.3379368782043457,0.7683236598968506
2,0.0001,0.38457862404997956,0.46287259459495544,0.9545373320579529,0.23919372391041524,0.5253090262413025,0.7149332165718079
3,0.0001,0.33914335084964453,0.5823482871055603,0.8809921145439148,0.30855106373536423,0.4897983968257904,0.8192412257194519
4,0.0001,0.318345006891384,0.6197109818458557,0.8479240536689758,0.21611390005333633,0.5128982067108154,0.6745308041572571
5,0.0001,0.31152650717437297,0.6324551701545715,0.8365185856819153,0.23714364474544877,0.49405455589294434,0.7114028930664062
6,0.0001,0.29980662250576473,0.6521437764167786,0.8176209330558777,0.4312525883248325,0.5304248929023743,0.9718654751777649
7,0.0001,0.291811992293354,0.6680808067321777,0.8034060597419739,0.3642397638290159,0.5708655714988708,0.88372403383255
8,5e-05,0.28545386847127285,0.6770439147949219,0.7942379117012024,0.29269439146815357,0.43508538603782654,0.7886867523193359
9,5e-05,0.2798373184900796,0.6859999299049377,0.7841958999633789,0.31347300723401084,0.36064156889915466,0.8187749981880188
10,5e-05,0.2707601927888556,0.7000414729118347,0.7694719433784485,0.26114544038948373,0.48062658309936523,0.7477292418479919
11,5e-05,0.26355737676368474,0.7126606106758118,0.7572838664054871,0.19881853893879922,0.5347734689712524,0.6352868676185608
12,5e-05,0.2609182818840511,0.7150888442993164,0.7542049884796143,0.270251531205419,0.5749966502189636,0.749464213848114
13,5e-05,0.2537547383624246,0.7263755798339844,0.7413631081581116,0.22283180037401787,0.5423458814620972,0.6845929026603699
14,5e-05,0.24883078337084952,0.7343338131904602,0.7335187792778015,0.4153612500511556,0.38347533345222473,0.9532721638679504
15,2.5e-05,0.2444905595817329,0.7398629188537598,0.7266848087310791,0.2309736122596099,0.48237523436546326,0.6916975975036621
16,2.5e-05,0.23901277275182228,0.7482802271842957,0.7162613868713379,0.19637805628611746,0.5326276421546936,0.635953962802887
17,2.5e-05,0.23609354272260588,0.7516070008277893,0.7119688987731934,0.22104329392657301,0.5202440619468689,0.6787555813789368
18,2.5e-05,0.23257241325300276,0.7568778991699219,0.7056880593299866,0.27698742546793503,0.547174870967865,0.7658136487007141
19,2.5e-05,0.22977439759517745,0.7603923678398132,0.7008516192436218,0.47150381863941243,0.5347581505775452,1.013481616973877
20,1.25e-05,0.22635288507140164,0.7648623585700989,0.6956145763397217,0.6643429196649983,0.36774513125419617,1.235404133796692
21,1.25e-05,0.224491120966404,0.7677691578865051,0.6913908123970032,0.318333108372952,0.4227364957332611,0.8226298689842224
22,1.25e-05,0.22421960726699489,0.7679901123046875,0.6913444399833679,0.23048849348923028,0.4271620810031891,0.6884362697601318
23,1.25e-05,0.22088968260508807,0.7721408009529114,0.6859720349311829,0.22660075258549459,0.47078147530555725,0.6883092522621155
24,6.25e-06,0.21899000121403306,0.7754228115081787,0.6820024847984314,0.22111082873586135,0.5037149786949158,0.6772709488868713
