epoch,learning_rate,train_loss,val_loss,val_mean_corr,val_mean_rmse
1,0.0002,0.750378229897348,0.6870720852562722,0.3069622400468777,0.8260523676872253
2,0.0002,0.6295403869188272,0.6163312314038581,0.35361655581776547,0.780083179473877
3,0.0002,0.5913836170173777,0.636964537044789,0.3530176470179776,0.7907813191413879
4,0.0002,0.5638170189622167,0.6132551422144504,0.36695615269605736,0.7776896357536316
5,0.0002,0.5393692033668402,0.6318294006459256,0.3600860298724511,0.787728488445282
6,0.0002,0.5215281297095169,0.6355172792013656,0.3887652734062999,0.7904775738716125
7,0.0002,0.5015939246289384,0.6555828689894778,0.37671421287352036,0.8026227951049805
8,0.0002,0.48332685872815434,0.6524725261520832,0.3648661276039791,0.800636351108551
9,0.0001,0.44315826662709035,0.6540659624845424,0.36995061203517504,0.7997804284095764
10,0.0001,0.4249208927025247,0.6483761845751012,0.369258234612422,0.7965235114097595
11,0.0001,0.40996636644232043,0.6317304873720129,0.3839030055163443,0.7861936688423157
12,0.0001,0.39722455981755206,0.6845446463595045,0.3655755864675229,0.8181172013282776
