epoch,learning_rate,train_loss,val_loss,val_mean_corr,val_mean_rmse
1,0.0002,0.7734670452337203,0.7634951183770565,0.3177894807523273,0.8707901835441589
2,0.0002,0.6108867458433495,0.7031163325969209,0.3566856086702983,0.8389232158660889
3,0.0002,0.5804366108135133,0.7126663108455374,0.3683361740271811,0.8413417935371399
4,0.0002,0.5554932347347318,0.8378763414443807,0.3910913920120685,0.9095308184623718
5,0.0002,0.5344031039585002,0.6425729137151799,0.38665433856311154,0.7923299670219421
6,0.0002,0.5170008641196953,0.7698352286156188,0.3843374748892088,0.8679776787757874
7,0.0002,0.5021319704239384,0.664105494288688,0.3839433707465376,0.8062189221382141
8,0.0002,0.48432879853920924,0.6818488665083622,0.38375588472349326,0.8160716891288757
9,0.0002,0.46510847118438714,0.9190546721220016,0.33992355783580025,0.9418460726737976
10,0.0001,0.4227597141278799,0.8406626382406722,0.35781152735826355,0.9010570645332336
11,0.0001,0.4028291458744806,0.8242856856990368,0.3587213281758674,0.8896593451499939
12,0.0001,0.38581564896406684,0.8510074171614139,0.35621206704982206,0.9039139747619629
13,0.0001,0.3676717739948223,0.8567923307418823,0.3530748227664359,0.9115018248558044
