epoch,learning_rate,train_loss,val_loss,val_mean_corr,val_mean_rmse
1,0.0002,0.7126775829109349,0.657274695152932,0.3776955888582923,0.8030727505683899
2,0.0002,0.5997043666314665,0.6938219232128021,0.3722739916921731,0.8261852264404297
3,0.0002,0.5589990420351835,0.6941316898198838,0.3883180260168618,0.8243574500083923
4,0.0002,0.5316922578855605,0.6546339852378723,0.3709375690231241,0.7986109852790833
5,0.0002,0.5063661003061075,0.7662043844131713,0.3727845477060285,0.8608317375183105
6,0.0002,0.4825337292315386,0.8421162870970178,0.3823855274790627,0.8974557518959045
7,0.0002,0.46039114812966797,0.7420895375469898,0.35907196454707907,0.8480302691459656
8,0.0002,0.4334345973042242,0.816470797708694,0.36934124315299405,0.8849279284477234
9,0.0001,0.3882524109390966,0.8236492361794127,0.3572031314171522,0.8896360993385315
10,0.0001,0.3666888187156582,0.7849650405188824,0.34402580570840385,0.8660514950752258
11,0.0001,0.3484130892732914,0.8499199709993728,0.36322831888416557,0.9014914631843567
12,0.0001,0.3329631378231752,0.8731458047603039,0.3231136639855134,0.9131606221199036
