epoch,learning_rate,train_loss,val_loss,val_mean_corr,val_mean_rmse
1,0.0002,0.7382048845420431,0.7340838557228129,0.3588247386751778,0.8554913401603699
2,0.0002,0.5999475200496889,0.7429571804848123,0.39121477551173206,0.8572340607643127
3,0.0002,0.563854381241664,0.8023762195668322,0.3866252737535345,0.8888776898384094
4,0.0002,0.5364010320051115,0.8215888133074375,0.38115380160055573,0.8984615802764893
5,0.0002,0.5138854414741801,0.7170963915104561,0.38782122514859124,0.8391451835632324
6,0.0002,0.49143941752822695,0.7753452303561759,0.3863422392989753,0.8709227442741394
7,0.0002,0.46820656309417424,0.8807118170438929,0.3807538090857938,0.9192264676094055
8,0.0002,0.4477860702739103,0.7862703441939456,0.38525929909893186,0.8754523396492004
9,0.0002,0.4245862147231423,0.9033147280520581,0.39124875963612044,0.9362983107566833
10,0.0001,0.3840117446512566,0.8148271378050459,0.38225399674922905,0.8900794386863708
11,0.0001,0.3668650078864005,0.8817219854669368,0.39608324661300376,0.9252781867980957
12,0.0001,0.35200570865722125,0.8426092514332305,0.39252125422242495,0.905867874622345
13,0.0001,0.3410054636945435,0.9171556304109857,0.39021835254644716,0.9445798397064209
