epoch,learning_rate,train_loss,val_loss,val_mean_corr,val_mean_rmse
1,0.0002,0.8579548284185166,0.7484690553330361,0.30603953594786343,0.8675044178962708
2,0.0002,0.6368141571766901,0.7024803897167774,0.3724385084676256,0.8356183171272278
3,0.0002,0.5763547263926384,0.7037588938119563,0.38248811309153136,0.8338196277618408
4,0.0002,0.547759716571541,0.7568867593369586,0.3914514963516061,0.8628671765327454
5,0.0002,0.5228085226454083,0.7365373236701843,0.38568499177731086,0.8480854034423828
6,0.0002,0.4958652139615082,0.7017597429295803,0.387381237183205,0.8276205062866211
7,0.0002,0.46908755966355126,0.7844548016152484,0.37535221128646307,0.8762955665588379
8,0.0002,0.44249774595144775,0.9987924691844494,0.37637584510441985,0.9807064533233643
9,0.0002,0.417254533322928,0.8808515965938568,0.36531104781389384,0.9224055409431458
10,0.0002,0.39078695997757407,0.9708830225974956,0.3724626840856866,0.9640398025512695
11,0.0001,0.34717248009756174,0.9392602348581274,0.36281181181116756,0.9498887658119202
12,0.0001,0.32784908366694626,0.8739071868835612,0.36795003184280556,0.9146206974983215
13,0.0001,0.31413686038873717,0.9247440905012982,0.35341497360107593,0.9418044090270996
14,0.0001,0.3004124123271789,0.9122632355132001,0.3581049941726325,0.9361839294433594
