epoch,learning_rate,train_loss,val_loss,val_mean_corr,val_mean_rmse
1,0.0002,0.7344124717464158,0.6631045737799178,0.3759690260212037,0.8113824725151062
2,0.0002,0.6064020269992811,0.6375141939584245,0.4069214692129,0.7922203540802002
3,0.0002,0.5609388543830259,0.6528176806391554,0.4243173727382254,0.8021200299263
4,0.0002,0.5306949197340942,0.6588597865180766,0.407485618997595,0.8044522404670715
5,0.0002,0.5034729712697276,0.6679493675523616,0.4054139497248775,0.8093863129615784
6,0.0002,0.47494067732656853,0.6992397048371903,0.37716487605780175,0.8259310126304626
7,0.0001,0.42678306811931593,0.6751610173823985,0.39682290890953337,0.8119168281555176
8,0.0001,0.40245753242240295,0.7121187467524346,0.368435423883537,0.8312562108039856
9,0.0001,0.38244851151412584,0.7464288612629505,0.38165397644497884,0.8534234166145325
10,0.0001,0.3636197468916403,0.7455473041280787,0.3458209115593262,0.8479585647583008
