epoch,lr,train_loss,train_mean_acc,train_mean_rmse,val_loss,val_mean_acc,val_mean_rmse
1,0.0001,0.44420515849049574,0.3297565281391144,1.0457032918930054,0.2642674764729865,0.4387141764163971,0.7534701228141785
2,0.0001,0.3645142981506384,0.5105522274971008,0.9217451214790344,0.24370154910098574,0.4881720542907715,0.7190921902656555
3,0.0001,0.33472530843691245,0.5885389447212219,0.8723587393760681,0.2241404432854894,0.4572615623474121,0.6859361529350281
4,0.0001,0.32110774723753704,0.6161754727363586,0.8514986038208008,0.24557984156817336,0.4881414473056793,0.719134509563446
5,0.0001,0.3120847066622708,0.6328031420707703,0.8360931277275085,0.5630184484791646,0.4636562764644623,1.1086190938949585
6,0.0001,0.30321448023807784,0.6449055075645447,0.8233007788658142,0.20072576513488172,0.523210883140564,0.6437130570411682
7,0.0001,0.2949331080041752,0.6622791290283203,0.8079180717468262,0.21079488428232307,0.4993308484554291,0.6572183966636658
8,0.0001,0.28796476504905955,0.6733870506286621,0.7971131205558777,0.23512511703825217,0.35771632194519043,0.7017175555229187
9,0.0001,0.2809839314485561,0.6842751502990723,0.7854413390159607,0.2521788648196629,0.36030635237693787,0.7284772992134094
10,5e-05,0.27391840120792543,0.6966185569763184,0.7735680937767029,0.23467251761443056,0.4398359954357147,0.6923450827598572
11,5e-05,0.26400819545921317,0.712217390537262,0.7566478848457336,0.5433888778708498,0.4569038152694702,1.0879124402999878
12,5e-05,0.26142959078184036,0.7144376635551453,0.7530021667480469,0.21068643781995994,0.4499983787536621,0.6530730128288269
13,5e-05,0.25458266093418785,0.7240423560142517,0.7432132363319397,0.21954961553696664,0.4783431589603424,0.6696836948394775
14,2.5e-05,0.24803694660747724,0.7351567149162292,0.7301810383796692,0.2512558535222084,0.4341637194156647,0.7223477959632874
