epoch,learning_rate,train_loss,val_loss,val_mean_corr,val_mean_rmse
1,0.0001,0.6179779276671999,0.8242373444298481,0.36306164477187824,0.9000045657157898
2,0.0001,0.5185105766301041,0.866106243526682,0.3726486649874276,0.9128246307373047
3,0.0001,0.43201399272925944,0.8273559390230382,0.3577920498499501,0.8946226239204407
4,0.0001,0.3459733158414638,0.9670619844122136,0.3563506944471789,0.9637288451194763
5,0.0001,0.2770989427920795,0.9268356637751802,0.3634307155545886,0.942696750164032
6,5e-05,0.20315650044061614,1.0356848030648333,0.3553023221214757,0.9926419258117676
7,5e-05,0.17584082115756716,1.084584913355239,0.3541846819466284,1.01993727684021
8,5e-05,0.15633355289245118,0.9798081282605516,0.3567779438233663,0.969857394695282
9,5e-05,0.14187277067703177,0.8632953021120517,0.34825604119367276,0.9129384160041809
